CID,CRPName,Party,DistIDRunFor,FECCandID
N00037186,"Brown, Liz",R,IN03,H6IN03237
N00037254,"Brown, Paul Michael",R,TX32,H6VA32013
N00034254,"Brownley, Julia",D,CA26,H2CA00120
N00027626,"Buchanan, Vernon",R,FL16,H6FL13148
N00030829,"Buck, Kenneth R",R,CO04,H4CO04090
N00031227,"Bucshon, Larry",R,IN08,H0IN08114
N00025219,"Burgess, Michael",R,TX26,H2TX26093
N00036941,"Burk, John",R,NC09,H6NC09168
N00002221,"Burr, Richard",R,NCS2,S4NC00089
N00034523,"Burris, Michael",R,MO05,H2MO05352
N00033390,"Bustos, Cheri",D,IL17,H2IL17071
N00027035,"Butterfield, G K",D,NC01,H4NC01046
N00035380,"Byrne, Bradley",R,AL01,H4AL01123
N00037057,"Cage, Ericke",D,VA05,H6VA05100
N00035433,"Cain, Emily",D,ME02,H4ME02200
N00028223,"Calderin, Michael",D,FL25,H6FL25027
N00037052,"Calone, David L",D,NY01,H6NY01118
N00007099,"Calvert, Ken",R,CA42,H2CA37023
N00033999,"Campos, Benjamin",R,CA38,H2CA38237
N00000267,"Capuano, Michael E",D,MA07,H8MA08071
N00037015,"Carbajal, Salud",D,CA24,H6CA24303
N00033373,"Cardenas, Tony",D,CA29,H2CA28113
N00030736,"Carney, John",D,DE01,H0DE01017
N00007498,"Carroll, Jerry Leon",3,CAS1,S2CA00591
N00029513,"Carson, Andre",D,IN07,H8IN07184
N00036973,"Carson, Ben",R,PRES,P60005915
N00035346,"Carter, Buddy",R,GA01,H4GA01039
N00031188,"Carter, Jerry Dean",I,NVS2,S0NV00211
N00025095,"Carter, John",R,TX31,H2TX31044
N00034128,"Cartwright, Matt",D,PA17,H2PA17079
N00037252,"Castillo, Christopher",R,CA44,H6CA44129
N00027514,"Castor, Kathy",D,FL14,H6FL11126
N00033316,"Castro, Joaquin",D,TX20,H2TX35011
N00036102,"Chabot, Paul",R,CA31,H4CA31071
N00003689,"Chabot, Steve",R,OH01,H8OH01043
N00028958,"Chaffetz, Jason",R,UT03,H8UT03089
N00035807,"Chavez, Cesar",D,AZ07,H4AZ07035
N00036918,"Chavez, Rocky",R,CAS1,S6CA00626
N00036937,"Cheng, Xiangfei ""Scott""",R,MD06,H6MD06188
N00033246,"Choi, Jun",D,NJ06,H2NJ07168
N00035603,"Christopher, Warren",D,MD04,H4MD04113
N00030600,"Chu, Judy",D,CA27,H0CA32101
N00032019,"Cicilline, David",D,RI01,H0RI01073
N00035278,"Clark, Katherine",D,MA05,H4MA05084
N00026961,"Clarke, Yvette D",D,NY09,H4NY11138
N00035854,"Clawson, Curt",R,FL19,H4FL19074
N00012460,"Clay, William L Jr",D,MO01,H0MO01066
N00026790,"Cleaver, Emanuel",D,MO05,H4MO05234
N00037011,"Cleek, N Eugene",R,CA03,H6CA03117
N00000019,"Clinton, Hillary",D,PRES,P00003392
N00002408,"Clyburn, James E",D,SC06,H2SC02042
N00024753,"Coffman, Mike",R,CO06,H8CO06138
N00003225,"Cohen, Steve",D,TN09,H6TN09068
N00025726,"Cole, Tom",R,OK04,H2OK04055
N00036158,"Coleman, Bonnie",D,NJ12,H4NJ12149
N00001285,"Collins, Chris",R,NY27,H8NY29032
N00033518,"Collins, Doug",R,GA09,H2GA09150
N00036997,"Collins, Nancy",R,MS01,H5MS01075
N00036023,"Comstock, Barbara",R,VA10,H4VA10089
N00026041,"Conaway, Mike",R,TX11,H4TX19136
N00033520,"Concepcion, Hector L",R,IL04,H2IL04145
N00029891,"Connolly, Gerry",D,VA11,H8VA11062
N00004029,"Conyers, John Jr",D,MI13,H6MI01028
N00034224,"Cook, Paul",R,CA08,H2CA08164
N00003132,"Cooper, Jim",D,TN05,H2TN05131
N00026341,"Costa, Jim",D,CA16,H4CA20082
N00031064,"Costello, Ryan",R,PA06,H0PA06076
N00024842,"Courtney, Joe",D,CT02,H2CT02112
N00031142,"Cozad, David",D,TX06,H0TX06065
N00036906,"Crabtree, Valleri",D,FL09,H6FL09146
N00037039,"Craig, Angie",D,MN02,H6MN02131
N00004614,"Cramer, Kevin",R,ND01,H0ND01026
N00035868,"Cramer, Robert",R,IA03,H4IA03099
N00006267,"Crapo, Mike",R,IDS2,S8ID00027
N00030770,"Crawford, Rick",R,AR01,H0AR01083
N00012739,"Crenshaw, Ander ",R,FL04,H0FL04066
N00001127,"Crowley, Joseph",D,NY14,H8NY07046
N00037156,"Crumpton, Ron",D,ALS2,S6AL00302
N00033085,"Cruz, Ted",R,PRES,P60006111
N00024978,"Cuellar, Henry",D,TX28,H2TX23082
N00009738,"Culberson, John",R,TX07,H0TX07055
N00037028,"Cullerton, Tom",D,IL08,H6IL08154
N00001971,"Cummings, Elijah E",D,MD07,H6MD07160
N00036692,"Cummings, Ted",I,WAS2,S4WA00524
N00035403,"Curbelo, Carlos",R,FL26,H4FL26038
N00036549,"Daggett, Doug",R,MN05,H4MN05071
N00036947,"Davies, Aaron",I,OK02,H6OK02225
N00004884,"Davis, Danny K",D,IL07,H4IL07037
N00037187,"Davis, Dereck",D,MD04,H6MD04233
N00034784,"Davis, Rodney",R,IL13,H2IL13120
N00009604,"Davis, Susan A",D,CA53,H0CA49055
N00005930,"Dean, Andre",R,TX08,H6TX08167
N00007781,"DeFazio, Peter",D,OR04,H6OR04047
N00006134,"DeGette, Diana",D,CO01,H6CO01141
N00037231,"Del Beccaro, Tom",R,CAS1,S6CA00683
N00033897,"Delaney, John K",D,MD06,H2MD06195
N00000615,"DeLauro, Rosa L",D,CT03,H0CT03072
N00030693,"DelBene, Suzan",D,WA01,H0WA08046
N00031593,"Denham, Jeff",R,CA10,H0CA19173
N00026171,"Dent, Charlie",R,PA15,H4PA15087
N00034746,"DeSantis, Ron",R,FLS2,S6FL00293
N00030709,"Desaulnier, Mark",D,CA11,H0CA10073
N00030957,"Desjarlais, Scott",R,TN04,H0TN04195
N00036934,"Detzel, Denis",R,IL09,H6IL09137
N00031317,"Deutch, Ted",D,FL21,H0FL19080
N00025337,"Diaz-Balart, Mario",R,FL25,H2FL25018
N00036149,"Dingell, Debbie",D,MI12,H4MI12079
N00006023,"Doggett, Lloyd",D,TX35,H4TX10028
N00031103,"Dold, Bob",R,IL10,H0IL10302
N00036928,"Donovan, Dan",R,NY11,H5NY11010
N00001373,"Doyle, Mike",D,PA14,H4PA18131
N00036938,"Driskell, Gretchen",D,MI07,H6MI07223
N00027860,"Duckworth, Tammy",D,ILS2,S6IL00292
N00030967,"Duffy, Sean P",R,WI07,H0WI07051
N00030752,"Duncan, Jeff",R,SC03,H0SC03077
N00037165,"Duncan, Jim",R,NC02,H6NC02114
N00003209,"Duncan, John J Jr",R,TN02,H8TN02069
N00028249,"Edwards, Donna",D,MDS2,S6MD03458
N00036920,"Ehler, Charles",R,COS1,S6CO00234
N00036527,"Ellison, Allen",D,FL17,H4FL17037
N00028257,"Ellison, Keith",D,MN05,H6MN05183
N00031513,"Ellmers, Renee",R,NC02,H0NC02059
N00037234,"Emanuele, James",R,NYS2,S6NY00375
N00035440,"Emmer, Tom",R,MN06,H4MN06087
N00001003,"Engel, Eliot L",D,NY16,H8NY19058
N00007335,"Eshoo, Anna",D,CA18,H8CA12098
N00009226,"Estrada, John",R,CAS1,S6CA00600
N00033217,"Esty, Elizabeth",D,CT05,H2CT05131
N00006700,"Evans, Mervin",D,CAS1,S4CA00191
N00035705,"Fareed, Justin",R,CA24,H4CA24142
N00031672,"Farenthold, Blake",R,TX27,H0TX27061
N00007312,"Farr, Sam",D,CA20,H4CA17021
N00001746,"Fattah, Chaka",D,PA02,H2PA02055
N00000036,"Feingold, Russ",D,WIS2,S8WI00026
N00031141,"Fincher, Steve",R,TN08,H0TN08246
N00031348,"Fiorina, Carly",R,PRES,P60007242
N00030815,"Fleischmann, Chuck",R,TN03,H0TN03254
N00029679,"Fleming, John",R,LA04,H8LA04225
N00031545,"Flores, Bill",R,TX17,H0TX17104
N00037190,"Flores, Lucy",D,NV04,H6NV04012
N00036989,"Flynn, Michael",R,MI10,H6MI10185
N00037164,"Flynn, Mike",R,IL18,H6IL18104
N00013799,"Forbes, Randy",R,VA04,H2VA04052
N00026631,"Fortenberry, Jeff",R,NE01,H4NE01064
N00029139,"Foster, Bill",D,IL11,H8IL14067
N00026166,"Foxx, Virginia",R,NC05,H4NC05146
N00002893,"Frankel, Lois J",D,FL22,H2FL14053
N00006423,"Franks, Trent",R,AZ08,H4AZ04024
N00035223,"Freeman, April",D,FL19,H4FL19058
N00000684,"Frelinghuysen, Rodney",R,NJ11,H2NJ05014
N00030490,"Fudge, Marcia L",D,OH11,H8OH11141
N00033281,"Gabbard, Tulsi",D,HI02,H2HI02508
N00033934,"Galdo, Joseph F",3,VA11,H2VA11164
N00037166,"Gallagher, Mike",D,NY13,H6NY13097
N00036097,"Gallego, Ruben",D,AZ07,H4AZ07043
N00037184,"Galloway, Pam",R,IN03,H6IN03211
N00035624,"Gandolfo, Angela Marie",D,NJ04,H4NJ04112
N00030856,"Garamendi, John",D,CA03,H0CA10149
N00000743,"Garrett, Scott",R,NJ05,H8NJ05052
N00036716,"Gaskins, Samuel Lewis",D,KY01,H4KY01073
N00037000,"Gentile, Vinnie",D,NY11,H5NY11044
N00031128,"Gibbs, Bob",R,OH07,H0OH18077
N00036982,"Giles, Dave",R,AZ09,H6AZ09010
N00026221,"Gill, David",I,IL13,H6IL13113
N00028277,"Glen, Mark Dulaney",R,NC05,H6NC05117
N00036919,"Glenn, Darryl",R,COS1,S6CO00226
N00026148,"Gohmert, Louis B Jr",R,TX01,H4TX04039
N00036950,"Gonzales, Regino James",R,TX18,H6TX18133
N00009154,"Goodlatte, Bob",R,VA06,H2VA06115
N00030771,"Gosar, Paul",R,AZ04,H0AZ01259
N00036944,"Gottheimer, Josh",D,NJ05,H6NJ05171
N00030880,"Gowdy, Trey",R,SC04,H0SC04257
N00037050,"Gradert, Jamieson",R,NH01,H6NH01289
N00035688,"Graham, Gwen",D,FL02,H4FL02062
N00009975,"Graham, Lindsey",R,PRES,S0SC00149
N00008799,"Granger, Kay",R,TX12,H6TX12060
N00036123,"Grant, Kevin",R,IN04,H4IN04180
N00001758,"Grassley, Chuck",R,IAS1,S0IA00028
N00036135,"Graves, Garret",R,LA06,H4LA06153
N00013323,"Graves, Sam",R,MO06,H0MO06073
N00030788,"Graves, Tom",R,GA14,H0GA09030
N00028418,"Grayson, Alan",D,FL09,H6FL08213
N00035476,"Grayson, Derrick",R,GAS2,S4GA11236
N00026686,"Green, Al",D,TX09,H4TX09095
N00005870,"Green, Gene",D,TX29,H2TX29030
N00037192,"Gregory, DuWayne",D,NY02,H6NY02124
N00032029,"Griffith, Morgan",R,VA09,H0VA09055
N00025284,"Grijalva, Raul M",D,AZ03,H2AZ07070
N00029400,"Grisham, Michelle Lujan",D,NM01,H8NM01257
N00036409,"Grothman, Glenn S",R,WI06,H4WI06048
N00030801,"Guinta, Frank",R,NH01,H0NH01217
N00029675,"Guthrie, Brett",R,KY02,H8KY02031
N00004874,"Gutierrez, Luis V",D,IL04,H2IL08039
N00037176,"Gutzeit, Maria",D,CA25,H6CA25169
N00012485,"Hagan, Bob",D,OHS2,S6OH00213
N00033277,"Hall, Isadore",D,CA44,H2CA35100
N00030197,"Hanna, Richard",R,NY22,H8NY24066
N00035628,"Hardy, Cresent",R,NV04,H4NV04017
N00029632,"Harper, Gregg",R,MS03,H8MS03067
N00037194,"Harrington, John IV",R,TX27,H6TX27076
N00029147,"Harris, Andy",R,MD01,H8MD01094
N00036915,"Harris, Kamala D",D,CAS1,S6CA00584
N00031005,"Hartzler, Vicky",R,MO04,H0MO04086
N00002884,"Hastings, Alcee L",D,FL20,H2FL23021
N00031557,"Heck, Dennis",D,WA10,H0WA03161
N00031244,"Heck, Joe",R,NV03,H0NV03058
N00024922,"Hensarling, Jeb",R,TX05,H2TX05121
N00031559,"Herrera Beutler, Jaime",R,WA03,H0WA03187
N00032243,"Hice, Jody B",R,GA10,H0GA07125
N00027060,"Higgins, Brian M",D,NY26,H4NY27076
N00035792,"Hill, French",R,AR02,H4AR02141
N00029070,"Himes, Jim",D,CT04,H8CT04172
N00006008,"Hinojosa, Ruben",D,TX15,H6TX15055
N00031688,"Hoeven, John",R,NDS1,S0ND00093
N00037159,"Holcomb, Eric",R,INS2,S6IN00175
N00033399,"Holding, George",R,NC13,H2NC13110
N00037044,"Holliday, Ed",R,MS01,H6MS01206
N00012611,"Honda, Mike",D,CA17,H0CA15148
N00036914,"House, Phillip",D,CAS1,S6CA00576
N00037002,"Howard, Albert",R,CAS1,S6CA00659
N00001821,"Hoyer, Steny H",D,MD05,H2MD05155
N00007539,"Huckabee, Mike",R,PRES,P80003478
N00033630,"Hudson, Richard",R,NC08,H2NC08185
N00027649,"Huelskamp, Tim",R,KS01,H6KS01146
N00033030,"Huffman, Jared",D,CA02,H2CA06259
N00030673,"Huizenga, Bill",R,MI02,H0MI02094
N00031104,"Hultgren, Randy",R,IL14,H0IL14080
N00029258,"Hunter, Duncan D",R,CA50,H8CA52052
N00031417,"Hurd, Will",R,TX23,H0TX23086
N00031265,"Hurt, Robert",R,VA05,H0VA05095
N00002593,"Isakson, Johnny",R,GAS2,S6GA00119
N00013345,"Israel, Steve",D,NY03,H0NY02085
N00007017,"Issa, Darrell",R,CA49,H0CA48024
N00033749,"Ivey, Glenn",D,MD04,H2MD04232
N00031603,"Izzo, Rose",R,DE01,H0DE01025
N00005818,"Jackson Lee, Sheila",D,TX18,H4TX18054
N00037182,"Jacobson, Oren",D,IL03,H6IL03130
N00037037,"Jawando, Will",D,MD08,H6MD08465
N00033640,"Jeffries, Hakeem",D,NY08,H2NY10092
N00035531,"Jenkins, Evan",R,WV03,H4WV03070
N00029077,"Jenkins, Lynn",R,KS02,H8KS02090
N00032088,"Johnson, Bill",R,OH06,H0OH06189
N00008122,"Johnson, Eddie Bernice",D,TX30,H2TX00015
N00027848,"Johnson, Hank",D,GA04,H6GA04129
N00032546,"Johnson, Ron",R,WIS2,S0WI00197
N00008028,"Johnson, Sam",R,TX03,H2TX03118
N00035717,"Jolly, David",R,FL13,H4FL13101
N00035791,"Jones, Lateresa",3,FLS2,S6FL00277
N00036992,"Jones, Starner",R,MS01,H5MS01083
N00002299,"Jones, Walter B Jr",R,NC03,H2NC01081
N00027894,"Jordan, Jim",R,OH04,H6OH04082
N00035007,"Joyce, David P",R,OH14,H2OH14064
N00006887,"Kalemkarian, Timothy Charles",R,CAS1,S6CA00477
N00036922,"Kander, Jason",D,MOS1,S6MO00362
N00003522,"Kaptur, Marcy",D,OH09,H2OH09031
N00035934,"Katko, John",R,NY24,H4NY24073
N00033516,"Kaufman, Joe",R,FL23,H2FL20043
N00031933,"Keating, Bill",D,MA09,H0MA10082
N00036907,"Keith, Pam",D,FLS2,S6FL00285
N00031647,"Kelly, Mike",R,PA03,H0PA03271
N00035215,"Kelly, Robin",D,IL02,H2IL02172
N00037003,"Kelly, Trent",R,MS01,H5MS01059
N00034044,"Kennedy, Joe III",D,MA04,H2MA04073
N00001885,"Keyes, Alan",R,ILS2,S4IL00404
N00037029,"Khouri, Tonia",R,IL11,H6IL11117
N00035555,"Kiehne, Gary",R,AZ01,H4AZ01145
N00033395,"Kildee, Dan",D,MI05,H2MI05119
N00034453,"Kilmer, Derek",D,WA06,H2WA06129
N00004403,"Kind, Ron",D,WI03,H6WI03099
N00001193,"King, Pete",R,NY02,H2NY03089
N00025237,"King, Steven A",R,IA04,H2IA05072
N00037174,"Kinlaw, Michael",R,COS1,S6CO00242
N00030667,"Kinzinger, Adam",R,IL16,H0IL11052
N00012539,"Kirk, Mark",R,ILS2,S0IL00261
N00029260,"Kirkpatrick, Ann",D,AZS1,S6AZ00225
N00004436,"Kline, John",R,MN02,H8MN06047
N00035820,"Knight, Steve",R,CA25,H4CA25123
N00004231,"Krause, Bob",D,IAS1,S0IA00101
N00033240,"Krishnamoorthi, Raja",D,IL08,H6IL08147
N00037027,"Kroeger, Gary",D,IA01,H6IA01163
N00030875,"Kuster, Ann Mclane",D,NH02,H0NH02181
N00036949,"Laboy, Zoe",3,PR00,H6PR00074
N00031377,"Labrador, Raul",R,ID01,H0ID01253
N00037031,"LaHood, Darin",R,IL18,H6IL18088
N00033987,"LaMalfa, Doug",R,CA01,H2CA02142
N00028133,"Lamborn, Douglas L",R,CO05,H6CO05159
N00000898,"Lance, Leonard",R,NJ07,H6NJ12136
N00036981,"Lane, James",3,NY11,H5NY11036
N00009724,"Langevin, Jim",D,RI02,H0RI02139
N00031129,"Lankford, James",R,OKS1,S4OK00232
N00027088,"Larchuk, Steve",D,PA12,H6PA12089
N00030562,"Larose, Josue",D,FLS2,S2FL00185
N00009759,"Larsen, Rick",D,WA02,H0WA02080
N00000575,"Larson, John B",D,CT01,H8CT01046
N00012233,"Latta, Robert E",R,OH05,H8OH05036
N00029470,"Lauren, Robert",R,CA45,H8CA47052
N00036872,"Law, Alexander",D,NJ01,H6NJ01188
N00036940,"Law, Phil",R,NC03,H6NC03138
N00034068,"Lawrence, Brenda",D,MI14,H2MI14111
N00036939,"Lawrence, Mary",D,MN02,H6MN02123
N00009918,"Leahy, Patrick",D,VTS2,S4VT00017
N00008046,"Lee, Barbara",D,CA13,H8CA09060
N00031696,"Lee, Mike",R,UTS2,S0UT00165
N00037247,"Lee, Susie",D,NV04,H6NV04020
N00003950,"Levin, Sander",D,MI09,H2MI17023
N00002577,"Lewis, John",D,GA05,H6GA05217
N00037054,"Li, Lindy",D,PA07,H6PA07113
N00032290,"Lieber, Arthur",D,MO02,H0MO02213
N00035295,"Lieberman, Richard",D,LA06,H4LA06062
N00035825,"Lieu, Ted",D,CA33,H4CA33119
N00027239,"Lipinski, Daniel",D,IL03,H4IL03077
N00000851,"LoBiondo, Frank A",R,NJ02,H2NJ02037
N00027741,"Loebsack, David",D,IA02,H6IA02146
N00007479,"Lofgren, Zoe",D,CA19,H4CA16049
N00030676,"Long, Billy",R,MO07,H0MO07113
N00037033,"Lopez, Adam",D,IL18,H6IL18120
N00035347,"Loudermilk, Barry",R,GA11,H4GA11061
N00033842,"Love, Mia",R,UT04,H2UT04023
N00035572,"Lowe, Thuy",R,FL05,H4FL05073
N00033274,"Lowenthal, Alan",D,CA47,H2CA00104
N00001024,"Lowey, Nita M",D,NY17,H8NY20056
N00005559,"Lucas, Frank D",R,OK03,H4OK06056
N00030026,"Luetkemeyer, Blaine",R,MO03,H8MO09153
N00029562,"Lujan, Ben R",D,NM03,H8NM03196
N00029788,"Lummis, Cynthia Marie",R,WY01,H8WY00148
N00013855,"Lynch, Stephen F",D,MA08,H2MA09072
N00036155,"MacArthur, Thomas",R,NJ03,H4NJ03130
N00037058,"Maddux, Robert",D,VA07,H6VA07114
N00000078,"Maloney, Carolyn B",D,NY12,H2NY14037
N00034277,"Maloney, Sean Patrick",D,NY18,H2NY22139
N00026710,"Marchant, Kenny",R,TX24,H4TX24094
N00031777,"Marino, Tom",R,PA10,H0PA10078
N00037034,"Marshall, Roger",R,KS01,H6KS01179
N00034041,"Massie, Thomas",R,KY04,H2KY04121
N00037161,"Masto, Catherine Cortez",D,NVS2,S6NV00200
N00027459,"Matsui, Doris O",D,CA06,H6CA05195
N00006424,"McCain, John",R,AZS1,S6AZ00019
N00028152,"McCarthy, Kevin",R,CA23,H6CA22125
N00026460,"McCaul, Michael",R,TX10,H4TX10093
N00006863,"McClintock, Tom",R,CA04,H8CA04152
N00012942,"McCollum, Betty",D,MN04,H0MN04049
N00036854,"McCoy, Dave",D,NCS2,S6NC00258
N00009829,"McDermott, Jim",D,WA07,H8WA07132
N00037051,"McFall, Jerald",R,NM03,H6NM03059
N00000179,"McGovern, James P",D,MA02,H4MA03022
N00026627,"McHenry, Patrick",R,NC10,H4NC10047
N00037180,"McKinlay, Melissa",D,FL18,H6FL18071
N00031681,"McKinley, David",R,WV01,H0WV01072
N00026314,"McMorris Rodgers, Cathy",R,WA05,H4WA05077
N00026926,"McNerney, Jerry",D,CA09,H4CA11081
N00033982,"McSally, Martha",R,AZ02,H2AZ08102
N00033631,"Meadows, Mark R",R,NC11,H2NC11080
N00033559,"Mealer, John Lewis",I,AZS1,S6AZ00209
N00031134,"Meehan, Patrick",R,PA07,H0PA07082
N00001171,"Meeks, Gregory W",D,NY05,H8NY06048
N00028428,"Mellon, Rob",D,IL18,H4IL18109
N00037230,"Meluskey, Alex",R,AZS1,S6AZ00217
N00037022,"Mendoza, Matt",R,CA53,H6CA53062
N00034547,"Meng, Grace",D,NY06,H2NY06116
N00012546,"Messer, Luke",R,IN06,H0IN02125
N00002793,"Mica, John L",R,FL07,H2FL08055
N00036942,"Millard, Andy",D,NC10,H6NC10158
N00013846,"Miller, Jeff",R,FL01,H2FL01100
N00036924,"Mills, Chip",R,MS01,H5MS01018
N00036491,"Mills, John",R,TN08,H4TN08099
N00036900,"Molnar, Robert",R,CAS1,S6CA00568
N00036275,"Moolenaar, John",R,MI04,H4MI04126
N00033814,"Mooney, Alex",R,WV02,H4WV02080
N00026914,"Moore, Gwen",D,WI04,H4WI04183
N00005282,"Moran, Jerry",R,KSS2,S0KS00091
N00035431,"Moulton, Seth",D,MA06,H4MA06090
N00037181,"Mowery, Tod",R,FL18,H6FL18089
N00033410,"Mullin, Markwayne",R,OK02,H2OK02083
N00031412,"Mulvaney, Mick",R,SC05,H0SC05031
N00026050,"Murkowski, Lisa",R,AKS2,S4AK00099
N00033091,"Murphy, Patrick E",D,FLS2,H2FL22072
N00024992,"Murphy, Tim",R,PA18,H2PA18143
N00007876,"Murray, Patty",D,WAS2,S2WA00189
N00037177,"Musante, Marcus",D,CA44,H6CA44111
N00000939,"Nadler, Jerrold",D,NY10,H2NY17071
N00036930,"Nance, Kathryn",R,CA09,H6CA09098
N00006789,"Napolitano, Grace",D,CA32,H8CA34068
N00035377,"Naughton, Shaughnessy",D,PA08,H4PA08116
N00000153,"Neal, Richard E",D,MA01,H8MA02041
N00037025,"Negron, Rebecca",R,FL18,H6FL18055
N00026043,"Neugebauer, Randy",R,TX19,H4TX19102
N00036403,"Newhouse, Dan",R,WA04,H4WA04104
N00032022,"Noem, Kristi",R,SD01,H0SD00054
N00021207,"Nolan, Rick",D,MN08,H2MN08111
N00037250,"Noland, Michael",D,IL08,H6IL08162
N00036154,"Norcross, Don",D,NJ01,H4NJ01084
N00021222,"Norris, Chuck",D,CO01,H6CO06017
N00033875,"Norris, Phil",R,AL04,H6AL04148
N00001692,"Norton, Eleanor Holmes",D,DC00,H0DC00058
N00032441,"Nugent, Richard",R,FL11,H0FL05139
N00007248,"Nunes, Devin",R,CA22,H8CA20059
N00036943,"O'Connor, Shawn",D,NH01,H6NH01271
N00033540,"O'Rourke, Beto",D,TX16,H2TX16185
N00029285,"Olson, Pete",R,TX22,H8TX22107
N00037013,"Ostrander, Bill",D,CA24,H6CA24287
N00037189,"Otto, Bill",D,MO02,H6MO02301
N00035766,"Pakootas, Joe",D,WA05,H4WA05127
N00031958,"Palazzo, Steven",R,MS04,H0MS04120
N00000781,"Pallone, Frank Jr",D,NJ06,H8NJ03073
N00035691,"Palmer, Gary",R,AL06,H4AL06098
N00037157,"Palzer, Tom",R,CAS1,S6CA00675
N00037012,"Parra, Daniel",D,CA21,H6CA21192
N00000751,"Pascrell, Bill Jr",D,NJ09,H6NJ08118
N00028981,"Pataki, George",R,PRES,P60007572
N00036933,"Patel, Ravi",D,IA01,H6IA01155
N00030836,"Paul, Rand",R,PRES,P40003576
N00029391,"Paulsen, Erik",R,MN03,H8MN03077
N00036986,"Pavlov, Phil",R,MI10,H6MI10193
N00037162,"Pawlowski, Ed",D,PAS1,S6PA00258
N00034639,"Payne, Donald M Jr",D,NJ10,H2NJ10154
N00012672,"Pearce, Steve",R,NM02,H2NM02126
N00035203,"Pearson, Cecil Jr",D,KYS2,S6KY00096
N00007360,"Pelosi, Nancy",D,CA12,H8CA05035
